Righteous In Wrath,194.6,302.9,250,67.4,91.8,73,145
Tom's Shady Weinerz,247.02,309.7,364.3,71.5,82.8,136,79
Fournette-cate,157.04,258.84,426.9,73.4,79,108,114
Big Ol' TDs,220.86,336.4,283.2,153.7,111.8,81,108
Equipmunk Managers,193.42,295.7,348,131.3,86.7,105,93
Fhqwhgads,243.26,230.7,373.4,75.6,63.8,66,119
Butts!,157.34,211.1,333.4,36.8,92.4,101,80
Lick My Quintorris,199.24,256,381.3,113,155.7,180,98
Menstrual Krampus,237.84,304.9,376.7,91.7,95.9,111,113
Stranger in the Alps,156.92,250,302.5,81.1,79.8,82,103
Mother of Dragons,185.26,254.4,272.5,108.3,101.3,105,59
Wit and Creativity,153.28,170.1,242.6,54.2,85.7,88,42
